"Zone Code","Zone Name","ks0010001","ks0010002","ks0010003","ks0010004","ks0010005","ks0010006"
"00ANGR","Wormholt and White City",11997,5677,6320,11970,27,70
"00APGA","Alexandra",10475,4976,5499,10378,97,173
"00APGB","Bounds Green",10905,5085,5820,10826,79,67
"00APGC","Bruce Grove",11997,5823,6174,11923,74,76
"00APGD","Crouch End",10762,5158,5604,10718,44,109
"00APGE","Fortis Green",11235,5348,5887,10882,353,170
"00APGF","Harringay",10525,5219,5306,10515,10,71
"00APGG","Highgate",10310,4973,5337,10098,212,153
"00APGH","Hornsey",10075,4725,5350,10063,12,98
"00APGJ","Muswell Hill",9975,4783,5192,9883,92,204
"00APGK","Noel Park",11472,5420,6052,11279,193,68
"00APGL","Northumberland Park",12606,6008,6598,12429,177,68
"00APGM","St Ann's",12603,6218,6385,12176,427,79
"00APGN","Seven Sisters",13179,6458,6721,13172,7,154
"00APGP","Stroud Green",10324,5091,5233,10280,44,77
"00APGQ","Tottenham Green",11966,5618,6348,11953,13,63
"00APGR","Tottenham Hale",12728,6117,6611,12716,12,71
"00APGS","West Green",11884,5755,6129,11854,30,71
"00APGT","White Hart Lane",11985,5454,6531,11771,214,67
"00APGU","Woodside",11501,5437,6064,11461,40,92
"00AQFY","Belmont",9506,4622,4884,9506,0,172
"00AQFZ","Canons",10091,4704,5387,9891,200,210
"00AQGA","Edgware",9832,4896,4936,9830,3,130
"00AQGB","Greenhill",9324,4419,4905,9118,206,117
"00AQGC","Harrow on the Hill",10632,5385,5247,10405,227,144
"00AQGD","Harrow Weald",10345,4893,5452,10116,229,154
"00AQGE","Hatch End",10098,4739,5359,9925,173,245
"00AQGF","Headstone North",9522,4625,4897,9514,8,195
"00AQGG","Headstone South",9366,4604,4762,9334,32,121
"00AQGH","Kenton East",9888,4773,5115,9888,0,131
"00AQGJ","Kenton West",10277,5057,5220,10234,43,170
"00AQGK","Marlborough",9207,4450,4757,9123,84,100
"00AQGL","Pinner",9601,4472,5129,9517,84,219
"00AQGM","Pinner South",9555,4609,4946,9535,20,221
"00AQGN","Queensbury",10055,4872,5183,10001,54,120
"00AQGP","Rayners Lane",10038,4958,5080,10022,16,155
"00AQGQ","Roxbourne",10947,5277,5670,10918,29,96
"00AQGR","Roxeth",10538,5148,5390,10516,22,97
"00AQGS","Stanmore Park",9339,4397,4942,9159,180,177
"00AQGT","Wealdstone",8963,4347,4616,8857,106,79
"00AQGU","West Harrow",9690,4706,4984,9690,0,130
"00ARGC","Brooklands",13024,6392,6632,12907,117,52
"00ARGD","Cranham",12242,5855,6387,12224,18,139
"00ARGE","Elm Park",12048,5722,6326,12048,0,49
"00ARGF","Emerson Park",11396,5573,5823,11372,24,124
"00ARGG","Gooshays",13991,6570,7421,13880,111,27
"00ARGH","Hacton",12494,6079,6415,12224,270,107
"00ARGJ","Harold Wood",12004,5722,6282,11836,168,67
"00ARGK","Havering Park",12366,5915,6451,12263,103,61
"00ARGL","Heaton",11778,5537,6241,11709,69,30
"00ARGM","Hylands",12380,6055,6325,12338,42,96
"00ARGN","Mawneys",12556,6007,6549,12511,45,62
"00ARGP","Pettits",12831,6221,6610,12761,70,109
"00ARGQ","Rainham and Wennington",12114,5868,6246,12078,36,49
"00ARGR","Romford Town",13200,6427,6773,13038,162,84
"00ARGS","St Andrew's",12778,6079,6699,12655,123,76
"00ARGT","South Hornchurch",12592,6130,6462,12575,17,37
"00ARGU","Squirrel's Heath",11780,5699,6081,11707,73,103
"00ARGW","Upminster",12674,6106,6568,12442,232,208
"00ASGG","Barnhill",11728,5700,6028,11697,31,103
"00ASGH","Botwell",12432,6111,6321,12294,138,86
"00ASGJ","Brunel",10631,5154,5477,9847,784,49
"00ASGK","Cavendish",11239,5404,5835,11232,7,95
"00ASGL","Charville",11429,5638,5791,11331,98,65
"00ASGM","Eastcote and East Ruislip",11480,5548,5932,11343,137,176
"00ASGN","Harefield",7090,3388,3702,6906,184,45
"00ASGP","Heathrow Villages",10217,5059,5158,9958,259,51
"00ASGQ","Hillingdon East",11878,5767,6111,11778,100,85
"00ASGR","Ickenham",9933,4852,5081,9880,53,178
"00ASGS","Manor",10902,5268,5634,10865,37,88
"00ASGT","Northwood",10559,4873,5686,10069,490,215
"00ASGU","Northwood Hills",10833,5007,5826,10809,24,157
"00ASGW","Pinkwell",12346,6032,6314,12323,23,90
"00ASGX","South Ruislip",10823,5233,5590,10617,206,78
"00ASGY","Townfield",11626,5567,6059,11541,85,77
"00ASGZ","Uxbridge North",11671,5690,5981,11382,289,140
"00ASHA","Uxbridge South",11438,5629,5809,10459,979,73
"00ASHB","West Drayton",11589,5602,5987,11422,167,69
"00ASHC","West Ruislip",10183,4855,5328,10068,115,117
"00ASHD","Yeading",11923,5711,6212,11909,14,95
"00ASHE","Yiewsley",11056,5373,5683,11047,9,34
"00ATFY","Bedfont",10104,4962,5142,10091,13,58
"00ATFZ","Brentford",10745,5177,5568,10706,39,60
"00ATGA","Chiswick Homefields",10290,4942,5348,10117,173,163
"00ATGB","Chiswick Riverside",10935,5422,5513,10925,10,191
"00ATGC","Cranford",10936,5530,5406,10935,0,117
"00ATGD","Feltham North",9570,4737,4833,9524,46,59
"00ATGE","Feltham West",11530,5755,5775,11271,259,46
"00ATGF","Hanworth",10995,5290,5705,10976,19,68
"00ATGG","Hanworth Park",10396,5098,5298,10351,45,59
"00ATGH","Heston Central",10998,5466,5532,10868,130,137
"00ATGJ","Heston East",10781,5311,5470,10781,0,149
"00ATGK","Heston West",11332,5568,5764,11275,57,121
"00ATGL","Hounslow Central",10791,5330,5461,10769,22,103
"00ATGM","Hounslow Heath",11115,5452,5663,11105,10,107
"00ATGN","Hounslow South",10369,5091,5278,10363,6,122
"00ATGP","Hounslow West",10356,5330,5026,9955,401,124
"00ATGQ","Isleworth",10745,5034,5711,10563,182,76
"00ATGR","Osterley and Spring Grove",10452,5241,5211,10256,196,162
"00ATGS","Syon",9717,4664,5053,9595,122,55
"00ATGT","Turnham Green",10184,4839,5345,10093,91,143
"00AUFX","Barnsbury",10274,4906,5368,10230,44,87
"00AUFY","Bunhill",10055,4977,5078,9851,204,59
"00AUFZ","Caledonian",11566,5937,5629,11022,544,68
"00AUGA","Canonbury",9899,4664,5235,9899,0,50
"00AUGB","Clerkenwell",9773,4693,5080,8908,865,61
"00AUGC","Finsbury Park",12448,6001,6447,12348,100,64
"00AUGD","Highbury East",10278,4980,5298,10177,101,86
"00AUGE","Highbury West",11681,5625,6056,11661,20,71
"00AUGF","Hillrise",11382,5318,6064,11317,65,82
"00AUGG","Holloway",11214,5282,5932,10630,584,54
"00AUGH","Junction",10816,4969,5847,10562,254,67
"00AUGJ","Mildmay",11339,5375,5964,11331,8,57
"00AUGK","St George's",11178,5257,5921,10729,449,111
"00AUGL","St Mary's",10499,5009,5490,10488,11,72
"00AUGM","St Peter's",10933,5391,5542,10708,225,67
"00AUGN","Tollington",12462,5845,6617,12401,61,66
"00AWFY","Abingdon",9053,4303,4750,8762,291,171
"00AWFZ","Brompton",9313,4299,5014,8843,470,151
"00AWGA","Campden",8173,3947,4226,8115,58,137
"00AWGB","Colville",7909,3739,4170,7894,15,54
"00AWGC","Courtfield",9578,4803,4775,8820,758,103
"00AWGD","Cremorne",9290,4476,4814,9239,51,96
"00AWGE","Earl's Court",9659,4856,4803,9434,225,54
"00AWGF","Golborne",8849,4307,4542,8779,70,37
"00AWGG","Hans Town",9335,4321,5014,9334,0,131
"00AWGH","Holland",9372,4412,4960,9348,24,201
"00AWGJ","Norland",8778,4191,4587,8715,63,213
"00AWGK","Notting Barns",9000,4281,4719,9000,0,55
"00AWGL","Pembridge",8116,3856,4260,8007,109,113
"00AWGM","Queen's Gate",9668,4597,5071,9333,335,157
"00AWGN","Redcliffe",8625,4089,4536,8430,195,127
"00AWGP","Royal Hospital",7662,3740,3922,7271,391,185
"00AWGQ","St Charles",9010,4288,4722,8889,121,57
"00AWGR","Stanley",7529,3454,4075,7222,307,195
"00AXFX","Alexandra",9045,4459,4586,9045,0,123
"00AXFY","Berrylands",9278,4603,4675,9170,108,111
"00AXFZ","Beverley",9488,4626,4862,9318,170,158
"00AXGA","Canbury",9604,4715,4889,9593,11,110
"00AXGB","Chessington North and Hook",8721,4270,4451,8721,0,62
"00AXGC","Chessington South",9488,4632,4856,9488,0,76
"00AXGD","Coombe Hill",10318,4913,5405,9323,995,236
"00AXGE","Coombe Vale",9271,4416,4855,9239,32,190
"00AXGF","Grove",7864,3871,3993,7827,37,75
"00AXGG","Norbiton",8844,4357,4487,8844,0,68
"00AXGH","Old Malden",9012,4482,4530,9010,0,145
"00AXGJ","St James",8571,4158,4413,8444,127,143
"00AXGK","St Mark's",9644,4925,4719,8257,1387,64
"00AXGL","Surbiton Hill",10191,4906,5285,9832,359,100
"00AXGM","Tolworth and Hook Rise",9531,4674,4857,9455,76,83
"00AXGN","Tudor",8403,3980,4423,8403,0,113
"00AYFZ","Bishop's",9194,4507,4687,8734,460,37
"00AYGA","Brixton Hill",12458,6197,6261,12257,201,55
"00AYGB","Clapham Common",12270,6229,6041,12142,128,159
"00AYGC","Clapham Town",13332,6679,6653,13032,300,132
"00AYGD","Coldharbour",14376,7123,7253,14340,36,75
"00AYGE","Ferndale",12898,6467,6431,12798,100,64
"00AYGF","Gipsy Hill",13601,6394,7207,13576,25,67
"00AYGG","Herne Hill",11805,5726,6079,11771,34,73
"00AYGH","Knight's Hill",13687,6508,7179,13373,314,85
"00AYGJ","Larkhall",13906,6834,7072,13639,267,82
"00AYGK","Oval",11983,6173,5810,11793,190,78
"00AYGL","Prince's",11636,5839,5797,11495,141,68
"00AYGM","St Leonard's",12215,6016,6199,11874,341,129
"00AYGN","Stockwell",13416,6749,6667,13403,13,115
"00AYGP","Streatham Hill",13359,6487,6872,13244,115,118
"00AYGQ","Streatham South",13449,6655,6794,13363,86,115
"00AYGR","Streatham Wells",12746,6355,6391,12645,101,56
"00AYGS","Thornton",12589,6074,6515,12576,13,71
"00AYGT","Thurlow Park",10958,5334,5624,10928,30,102
"00AYGU","Tulse Hill",13119,6415,6704,13086,33,58
"00AYGW","Vassall",13172,6391,6781,13029,143,89
"00AZGD","Bellingham",13642,6447,7195,13611,31,59
"00AZGE","Blackheath",13135,6389,6746,13049,86,115
"00AZGF","Brockley",13697,6655,7042,13091,606,100
"00AZGG","Catford South",14031,6836,7195,13926,105,106
"00AZGH","Crofton Park",13904,6711,7193,13836,68,71
"00AZGJ","Downham",14311,6783,7528,14298,13,49
"00AZGK","Evelyn",14512,7051,7461,14498,14,72
"00AZGL","Forest Hill",14039,6870,7169,13873,166,116
"00AZGM","Grove Park",14010,6656,7354,13945,65,101
"00AZGN","Ladywell",12430,6073,6357,12418,12,80
"00AZGP","Lee Green",12057,5825,6232,12049,8,88
"00AZGQ","Lewisham Central",13190,6457,6733,12882,308,68
"00AZGR","New Cross",15093,7404,7689,14773,320,78
"00AZGS","Perry Vale",14513,6964,7549,14438,75,90
"00AZGT","Rushey Green",13215,6386,6829,13004,211,49
"00AZGU","Sydenham",15353,7208,8145,15106,247,81
"00AZGW","Telegraph Hill",14426,6960,7466,14394,32,84
"00AZGX","Whitefoot",13364,6304,7060,13364,0,56
"00BAFX","Abbey",9526,4601,4925,9505,21,42
"00BAFY","Cannon Hill",9286,4625,4661,9274,12,85
"00BAFZ","Colliers Wood",9293,4547,4746,9228,65,55
"00BAGA","Cricket Green",10369,4928,5441,10269,100,63
"00BAGB","Dundonald",9018,4453,4565,9018,0,90
"00BAGC","Figge's Marsh",9896,4792,5104,9882,14,66
"00BAGD","Graveney",9384,4742,4642,9349,35,80
"00BAGE","Hillside",9074,4420,4654,8986,88,148
"00BAGF","Lavender Fields",9607,4728,4879,9607,0,43
"00BAGG","Longthornton",9629,4603,5026,9564,65,58
"00BAGH","Lower Morden",8561,4216,4345,8530,31,60
"00BAGJ","Merton Park",9144,4565,4579,9131,13,149
"00BAGK","Pollards Hill",9914,4788,5126,9903,11,79
"00BAGL","Ravensbury",9270,4449,4821,9202,68,50
"00BAGM","Raynes Park",9395,4416,4979,9239,156,143
"00BAGN","St Helier",9155,4382,4773,9131,24,37
"00BAGP","Trinity",8835,4315,4520,8697,138,68
"00BAGQ","Village",8914,4263,4651,8767,147,331
"00BAGR","West Barnes",9559,4719,4840,9553,6,121
"00BAGS","Wimbledon Park",10079,4962,5117,10025,54,159
"00BBGB","Beckton",13112,6344,6768,12755,357,64
"00BBGC","Boleyn",12289,5979,6310,12289,0,55
"00BBGD","Canning Town North",12061,5652,6409,11957,104,60
"00BBGE","Canning Town South",11278,5307,5971,11225,53,53
"00BBGF","Custom House",11875,5665,6210,11723,152,55
